ID,Group,Task,Information,ItemsPickedBeforeEarthquake,ItemsPickedDuringEarthquake,ItemsPickedAfterEarthquake,BooksPlacedBeforeEarthquake,BooksPlacedDuringEarthquake,BooksPlacedAfterEarthquake,ItemsObservedBeforeEarthquake,ItemsObservedDuringEarthquake,ItemsObservedAfterEarthquake,CoverAttempts,AverageDurationInTableCover,Total Duration In table Cover,Total Duration In table Cover Before Earthquake,Total Duration In table Cover During Earthquake,Total Duration In table Cover After Earthquake,SittingTransitions,AverageSeatedDuration,Total Seated Duration,Total Seated Duration Before Earthquake,Total Seated Duration During Earthquake,Total Seated Duration After Earthquake
63_B22132,Group 3,No Task,Given,3,2,11,0.0,0.0,0.0,2.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,6,6.6165,39.699,0.0,39.476,0.223
79_B24216,Group 4,No Task,Not Given,5,0,3,0.0,0.0,0.0,2.0,0.0,0.0,1,6.874,6.874,0.0,6.874,0.0,5,9.602,48.01,0.0,35.515,12.495
76_B22130,Group 3,No Task,Given,4,2,7,0.0,0.0,0.0,3.0,2.0,3.0,1,2.745,2.745,0.0,0.0,2.745,2,12.106,24.212,0.0,8.652,15.56
9_B22109,Group 1,Book Task,Given,2,3,5,1.0,6.0,7.0,0.0,0.0,0.0,4,1.2505,5.002,1.677,1.627,1.698,18,1.8111666666666668,32.601,0.0,0.0,32.601
32_B22087,Group 1,Book Task,Given,3,0,4,3.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,7.2783999999999995,36.392,0.0,34.781,1.611
33_B21184,Group 1,Book Task,Given,5,2,8,3.0,1.0,12.0,0.0,0.0,0.0,4,8.436,33.744,2.441,31.303,0.0,20,4.05175,81.035,15.714,43.64,21.681
37_B22085,Group 2,Book Task,Not Given,2,3,6,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
61_B21232,Group 3,No Task,Given,0,0,7,0.0,0.0,0.0,0.0,0.0,1.0,1,0.877,0.877,0.0,0.877,0.0,14,4.136642857142857,57.913,0.0,36.149,21.764
5_B22122,Group 1,Book Task,Given,5,13,10,9.0,7.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10,0.6635,6.635,0.0,5.557,1.078
38_B22134,Group 1,Book Task,Given,3,0,3,3.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,9.276200000000001,46.381,0.0,40.194,6.187
