ID,Group,Task,Information,AverageDurationInTableCover,AverageSeatedDuration,BooksPlacedAfterEarthquake,BooksPlacedBeforeEarthquake,BooksPlacedDuringEarthquake,CoverAttempts,ItemsObservedAfterEarthquake,ItemsObservedBeforeEarthquake,ItemsObservedDuringEarthquake,ItemsPickedAfterEarthquake,ItemsPickedBeforeEarthquake,ItemsPickedDuringEarthquake,SittingTransitions,TimeNearCornerAfterEarthquake,TimeNearCornerBeforeEarthquake,TimeNearCornerDuringEarthquake,TimeNearWallAfterEarthquake,TimeNearWallBeforeEarthquake,TimeNearWallDuringEarthquake,TotalDurationInTableCover,TotalDurationInTableCoverAfterEarthquake,TotalDurationInTableCoverBeforeEarthquake,TotalDurationInTableCoverDuringEarthquake,TotalSeatedDuration,TotalSeatedDurationAfterEarthquake,TotalSeatedDurationBeforeEarthquake,TotalSeatedDurationDuringEarthquake,TotalTimeNearCorner,TotalTimeNearWall
7_B22290,Group 1,Book Task,Given,10.332,3.001,4.0,2.0,2.0,2,0.0,0.0,0.0,4,3,2,8,0.0,0.0,0.0,0.247,0.0,0.004,20.664,2.864,0.0,17.8,24.008,3.732,0.0,20.276,0.0,0.251
79_B24216,Group 4,No Task,Not Given,6.874,9.602,0.0,0.0,0.0,1,0.0,2.0,0.0,3,5,0,5,0.302,0.0,0.0,4.852,12.841,2.741,6.874,0.0,0.0,6.874,48.01,12.495,0.0,35.515,0.302,20.434
9_B22109,Group 1,Book Task,Given,1.2505,1.8111666666666668,7.0,1.0,6.0,4,0.0,0.0,0.0,5,2,3,18,0.0,0.0,0.0,2.202,0.0,0.002,5.002,1.698,1.677,1.627,32.601,32.601,0.0,0.0,0.0,2.204
50_B22039,Group 4,No Task,Not Given,1.776,0.0,0.0,0.0,0.0,1,4.0,4.0,2.0,7,6,3,0,0.0,0.0,0.0,0.0,0.012,0.003,1.776,1.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
88_B22139,Group 4,No Task,Not Given,0.0,6.408666666666667,0.0,0.0,0.0,0,0.0,1.0,0.0,0,2,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.452,0.0,38.452,0.0,0.0,0.0
34_B21088,Group 2,Book Task,Not Given,0.0,0.0,4.0,5.0,2.0,0,0.0,0.0,0.0,3,5,3,0,0.0,0.0,0.0,0.002,0.965,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971
47_B22103,Group 4,No Task,Not Given,2.144,0.0,0.0,0.0,0.0,2,5.0,4.0,0.0,7,6,0,0,0.0,0.0,0.122,0.014,0.488,11.804,4.288,0.645,0.0,3.643,0.0,0.0,0.0,0.0,0.122,12.306
36_B22124,Group 2,Book Task,Not Given,0.0,0.0,4.0,4.0,6.0,0,0.0,0.0,0.0,5,8,7,0,0.0,0.0,0.0,0.301,1.628,3.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007
33_B21184,Group 1,Book Task,Given,8.436,4.05175,12.0,3.0,1.0,4,0.0,0.0,0.0,8,5,2,20,0.0,0.0,0.0,15.463,0.026,0.0,33.744,0.0,2.441,31.303,81.035,21.681,15.714,43.64,0.0,15.489
62_B21232,Group 3,No Task,Given,0.877,4.136642857142857,0.0,0.0,0.0,1,1.0,0.0,0.0,7,0,0,14,0.0,0.0,0.701,2.878,2.221,11.126,0.877,0.0,0.0,0.877,57.913,21.764,0.0,36.149,0.701,16.225
45_B22080,Group 2,Book Task,Not Given,0.0,3.5176666666666665,9.0,3.0,2.0,0,0.0,0.0,0.0,18,9,2,6,0.0,0.0,0.0,0.004,0.0,0.012,0.0,0.0,0.0,0.0,21.106,4.987,0.0,16.119,0.0,0.016
51_B22093,Group 3,No Task,Given,2.865,11.160833333333334,0.0,0.0,0.0,1,4.0,2.0,1.0,4,4,2,6,2.478,0.0,2.167,53.196,0.535,54.762,2.865,0.0,2.865,0.0,66.965,24.657,0.0,42.308,4.645,108.493
70_B22092,Group 3,No Task,Given,18.99,3.5557142857142856,0.0,0.0,0.0,2,12.0,5.0,0.0,14,7,2,14,0.0,0.0,0.0,4.495,0.0,0.0,37.98,4.073,0.0,33.907,49.78,5.243,0.0,44.537,0.0,4.495
74_B22125,Group 3,No Task,Given,3.1985,5.9995,0.0,0.0,0.0,2,4.0,3.0,0.0,14,9,0,10,0.71,0.0,46.984,6.72,0.0,48.162,6.397,0.0,6.397,0.0,59.995,5.06,0.0,54.935,47.694,54.882
67_B21122,Group 3,No Task,Given,2.699,8.0312,0.0,0.0,0.0,1,2.0,2.0,0.0,2,2,1,5,0.0,0.0,0.0,0.013,0.0,10.915,2.699,0.0,0.0,2.699,40.156,9.984,0.0,30.172,0.0,10.928
52_B21091,Group 3,No Task,Given,2.865,11.160833333333334,0.0,0.0,0.0,1,4.0,2.0,1.0,4,4,2,6,2.478,0.0,2.167,53.196,0.535,54.762,2.865,0.0,2.865,0.0,66.965,24.657,0.0,42.308,4.645,108.493
25_B22111,Group 2,Book Task,Not Given,0.845,0.0,3.0,3.0,1.0,1,0.0,0.0,0.0,4,3,2,0,0.0,0.0,0.0,33.845,20.367,5.13,0.845,0.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.342
44_B22095,Group 1,Book Task,Given,0.0,3.4635,8.0,3.0,1.0,0,0.0,0.0,0.0,8,6,2,16,0.0,0.0,0.0,0.843,0.012,24.887,0.0,0.0,0.0,0.0,55.416,0.044,3.156,52.216,0.0,25.742
6_B21183,Group 2,Book Task,Not Given,4.224,0.0,3.0,3.0,1.0,2,0.0,0.0,0.0,10,7,9,0,0.0,0.0,0.0,0.032,2.996,0.028,8.448,4.508,1.266,2.674,0.0,0.0,0.0,0.0,0.0,3.056
15_B22115,Group 1,Book Task,Given,6.496666666666667,4.9975,5.0,0.0,0.0,3,0.0,0.0,0.0,6,1,1,8,0.0,0.0,0.0,6.317,6.072,46.281,19.49,2.022,0.0,17.468,39.98,0.906,0.0,39.074,0.0,58.67
21_B22131,Group 1,Book Task,Given,1.672,1.3219411764705884,3.0,3.0,0.0,2,0.0,0.0,0.0,9,8,4,17,0.0,0.0,0.0,15.854,1.155,1.999,3.344,0.0,0.0,3.344,22.473,0.0,0.0,22.473,0.0,19.008
87_S24071,Group 3,No Task,Given,0.0,14.838222222222223,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,9,0.0,0.0,24.217,62.834,9.341,56.024,0.0,0.0,0.0,0.0,133.544,87.924,0.0,45.62,24.217,128.199
56_B22231,Group 3,No Task,Given,41.579,6.38475,0.0,0.0,0.0,1,2.0,3.0,0.0,2,3,3,8,0.0,0.0,0.0,0.0,23.069,0.0,41.579,0.0,0.0,41.579,51.078,2.099,0.0,48.979,0.0,23.069
14_B22129,Group 2,Book Task,Not Given,0.0,1.5571428571428572,7.0,2.0,2.0,0,0.0,0.0,0.0,15,5,4,7,0.0,0.0,0.078,43.313,14.765,24.741,0.0,0.0,0.0,0.0,10.9,0.0,4.509,6.391,0.078,82.819
18_B22119,Group 2,Book Task,Not Given,0.0,0.6365714285714286,4.0,7.0,3.0,0,0.0,0.0,0.0,4,6,4,7,0.0,0.0,0.0,8.809,1.102,3.493,0.0,0.0,0.0,0.0,4.456,1.099,3.357,0.0,0.0,13.404
42_B21121,Group 1,Book Task,Given,11.527666666666667,1.4870714285714286,4.0,3.0,2.0,3,0.0,0.0,0.0,7,6,9,28,0.0,0.0,0.0,0.011,0.035,1.456,34.583,3.088,0.0,31.495,41.638,4.988,0.0,36.65,0.0,1.502
23_B22084,Group 2,Book Task,Not Given,0.0,0.0,4.0,3.0,2.0,0,0.0,0.0,0.0,3,3,3,0,0.0,0.0,0.0,2.342,4.752,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.096
39_B22108,Group 2,Book Task,Not Given,0.0,0.0,3.0,3.0,2.0,0,0.0,0.0,0.0,4,6,7,0,0.0,0.0,0.0,4.245,5.782,1.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.228
17_B2294,Group 1,Book Task,Given,2.6053333333333333,2.127944444444444,4.0,2.0,1.0,3,0.0,0.0,0.0,5,6,1,18,0.0,0.0,0.0,0.014,0.0,8.96,7.816,0.719,0.699,6.398,38.303,0.861,10.168,27.274,0.0,8.974
75_B22101,Group 4,No Task,Not Given,0.621,4.511888888888889,0.0,0.0,0.0,1,2.0,1.0,1.0,16,3,3,9,0.0,0.0,0.0,1.2,1.956,6.779,0.621,0.621,0.0,0.0,40.607,0.0,38.224,2.383,0.0,9.935
